,product,brand,price ($),life_stage,special_diet,review_num,review_star,ingredients,protein,fat,fiber,moisture,
11,Meow Mix Tender Centers Salmon & White Meat Chicken Dry Cat Food,Meow Mix,10.47,Adult,normal,497,4.7,"Whole Ground Corn, Chicken By-Product Meal, Corn Gluten Meal, Soybean Meal, Whole Wheat, Animal Fat (Preserved with Mixed Tocopherols), Animal Digest, Corn Syrup, Glycerin, Phosphoric Acid, Calcium Carbonate, Salmon Meal, Titanium Dioxide (Color), Salt, Calcium Sulfate, Potassium Sorbate (Used As A Preservative), Potassium Chloride, Choline Chloride, L-Lysine, Vitamins (Vitamin E Supplement, Niacin Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Riboflavin Supplement, Pyridoxine Hydrochloride, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin, Vitamin B12 Supplement), Dicalcium Phosphate, Carrageenan, Yellow 6, Taurine, Minerals (Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite), Yellow 5, Red 40, Natural White Meat Chicken Flavor, Dl-Methionine, BHA (Used As A Preservative), Rosemary Extract, Celery Extract.",31.00%,11.00%,4.00%,12.00%,
12,Hill's Prescription Diet c/d Multicare Urinary Care with Chicken Dry Cat Food,Hill's Prescription Diet,76.99,Adult,"Pea-Free, Veterinary Diet",1219,4.8,"Chicken, Whole Grain Corn, Corn Gluten Meal, Whole Grain Wheat, Brewers Rice, Pork Fat, Chicken Meal, Egg Product, Pork Flavor, Soybean Oil, Fish Oil, Lactic Acid, L-Lysine, Calcium Sulfate, Potassium Chloride, Choline Chloride, DL-Methionine, Potassium Citrate, vitamins (Vitamin E Supplement, Niacin Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin A Supplement, Riboflavin Supplement, Biotin, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Iodized Salt, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene",30.00%,13.00%,1.60%,,
13,Purina ONE Sensitive Skin & Stomach Dry Cat Food,Purina ONE,18.21,Adult,Sensitive Digestion,675,4.7,"Turkey, Chicken By-Product Meal, Rice Flour, Corn Gluten Meal, Soybean Meal, Oat Meal, Whole Grain Corn, Beef Fat Naturally Preserved With Vitamin E,
ESSENTIAL NUTRIENTS AND OTHER INGREDIENTS: Minerals (Phosphoric Acid, Calcium Carbonate, Salt, Potassium Chloride, Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite), Dried Egg Product, Liver Flavor, Soybean Oil, Caramel Color, Vitamins (Choline, Vitamin E, Vitamin B-3, Vitamin A, Vitamin B-5, Vitamin B-1, Vitamin B-2, Vitamin B-12, Vitamin B-6, Folic Acid, Vitamin D-3, Vitamin B-7, Vitamin K), Dried Carrots, Dried Peas, Taurine, Amino Acids (L-Lysine Monohydrochloride). M418618",34.00%,13.00%,4.00%,12.00%,
14,Purina ONE Tender Selects Blend with Real Chicken Dry Cat Food,Purina ONE,24.41,Adult,normal,800,4.7,"Chicken, Rice Flour, Corn Gluten Meal, Chicken By-Product Meal (Source Of Glucosamine), Beef Fat Naturally Preserved With Mixed-Tocopherols, Soybean Meal, Whole Grain Corn, Wheat Flour, Liver Flavor, Soy Protein Isolate, Soy Protein Concentrate, Glycerin, Phosphoric Acid, Calcium Carbonate, Salt, Potassium Chloride, Caramel Color, Dried Carrots, Dried Peas, Choline Chloride, Sodium Bisulfate, VITAMINS [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Taurine, MINERALS [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], L-Cysteine, L-Lysine Monohydrochloride, DL-Methionine. B415517.",34.00%,13.00%,2.00%,12.00%,
15,"Royal Canin Veterinary Diet Gastrointestinal Fiber Response Dry Cat Food, 8.8-lb bag",Royal Canin Veterinary Diet,54.99,Adult,"Sensitive Digestion, Pea-Free, Veterinary Diet",828,4.9,"Brewers Rice, Chicken By-Product Meal, Corn, Chicken Fat, Corn Gluten Meal, Wheat Gluten, Psyllium Seed Husk, Natural Flavors, Dried Chicory Root, Egg Product, Potassium Chloride, Fish Oil, Calcium Sulfate, Sodium Pyrophosphate, Monocalcium Phosphate, Fructooligosaccharides, Dl-Methionine, Choline Chloride, Vegetable Oil, Salt, Taurine, Hydrolyzed Yeast, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], L-Lysine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",29.00%,13.00%,4.70%,8.00%,
16,Rachael Ray Nutrish Indoor Complete Chicken with Lentils & Salmon Recipe Natural Dry Cat Food,Rachael Ray Nutrish,19.97,Adult,Indoor,708,4.5,"Chicken, Chicken Meal, Brewer's Rice, Dried Peas, Corn Gluten Meal, Lentils, Poultry Fat (Preserved with Mixed Tocopherols), Whole Flaxseed, Cranberries, Pumpkin, Salmon, Dried Plain Beet Pulp, Natural Flavor, Dicalcium Phosphate, Caramel (Color), Salt, Choline Chloride, Potassium Chloride, Taurine, Dried Blueberry, Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Zinc Sulfate, Calcium Carbonate, Ferrous Sulfate, Niacin, Dandelion, Manganese Sulfate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Biotin, Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride (Source of Vitamin B6), Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin B12 Supplement, Folic Acid, Potassium Iodide, Vitamin D3 Supplement.",34.00%,12.00%,8.00%,9.00%,
17,Blue Buffalo Wilderness Chicken Recipe Grain-Free Dry Cat Food,Blue Buffalo,36.61,Adult,"Grain-Free, High-Protein, No Corn No Wheat No Soy",895,4.7,"Deboned Chicken, Chicken Meal, Pea Protein, Tapioca Starch, Peas, Menhaden Fish Meal (source of Omega 3 Fatty Acids), Chicken Fat (preserved with Mixed Tocopherols), Dried Egg Product, Pea Fiber, Natural Flavor, Flaxseed (source of Omega 6 Fatty Acids), Calcium Chloride, Potassium Sulfate, DL-Methionine, Choline Chloride, Direct Dehydrated Alfalfa Pellets, Potatoes, Dried Chicory Root, Alfalfa Nutrient Concentrate, Calcium Carbonate, Taurine, Salt, Potassium Chloride, Sweet Potatoes, Carrots, preserved with Mixed Tocopherols, Vegetable Juice for color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Vitamin E Supplement, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, L-Carnitine, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Lysine, Biotin (Vitamin B7), Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Calcium Iodate, Sodium Selenite, Oil of Rosemary.",40.0%,18.0%,4.0%,9.00%,
18,Rachael Ray Nutrish Natural Chicken & Brown Rice Recipe Dry Cat Food,Rachael Ray Nutrish,19.97,Adult,normal,840,4.5,"Chicken, Chicken Meal, Corn Gluten Meal, Brown Rice, Brewer's Rice, Dried Peas, Poultry Fat (Preserved with Mixed Tocopherols), Whole Flaxseed, Fish Meal, Dried Plain Beet Pulp, Natural Flavor, Caramel (Color), Salt, Potassium Chloride, Dicalsium Phosphate, Choline Chloride, Taurine, Dried Carrots, Vitamin E Supplement, Zinc Sulfate, Calcium Carbonate, L-Tryptophan, Ferrous Sulfate, Niacin, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Manganese Sulfate, Copper Sulfate, Vitamin A Supplement, Thiamine Mononitrate, d-Calcium Pantothenate, Biotin, Sodium Selenite, Riboflavin Supplement, Pyridoxine Hydrochloride (Source of Vitamin B6), Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Vitamin B12 Supplement, Folic Acid, Potassium Iodide, Vitamin D3 Supplement.",34.00%,14.00%,4.00%,9.00%,
19,Friskies Indoor Delights Dry Cat Food,Friskies,10.02,Adult,"Indoor, Pea-Free",464,4.6,"Ground Yellow Corn, Corn Gluten Meal, Chicken By-Product Meal, Soybean Meal, Beef Tallow Preserved With Mixed-Tocopherols, Powdered Cellulose, Soybean Hulls, Liver Flavor, Meat And Bone Meal, Calcium Carbonate, Phosphoric Acid, Salmon Meal, Salt, Natural Flavor, Choline Chloride, Dried Cheese Powder, Parsley Flakes, Potassium Chloride, Taurine, Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite], Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Vitamin E Supplement, Yellow 6, L-Tryptophan, Yellow 5, Red 40, Blue 2. H600218.",30.00%,9.00%,5.00%,12.00%,
20,Cat Chow Sensitive Stomach Gentle Dry Cat Food,Cat Chow,13.98,Adult,"Sensitive Digestion, Pea-Free",604,4.8,"Turkey By-Product Meal, Corn Gluten Meal, Ground Yellow Corn, Soy Flour, Rice, Beef Fat Preserved With Mixed-Tocopherols, Chicken By-Product Meal, Ground Whole Wheat, Turkey, Liver Flavor, Powdered Cellulose, Soybean Hulls, Inulin, Phosphoric Acid, Natural Flavor, Salt, Calcium Carbonate, Choline Chloride, Potassium Chloride, Taurine, Vitamins [Vitamin E Supplement, Niacin (Vitamin B-3), Vitamin A Supplement, Calcium Pantothenate (Vitamin B-5), Thiamine Mononitrate (Vitamin B-1), Riboflavin Supplement (Vitamin B-2), Vitamin B-12 Supplement, Pyridoxine Hydrochloride (Vitamin B-6), Folic Acid (Vitamin B-9), Vitamin D-3 Supplement, Biotin (Vitamin B-7), Menadione Sodium Bisulfite Complex (Vitamin K)], Minerals [Zinc Sulfate, Ferrous Sulfate, Manganese Sulfate, Copper Sulfate, Calcium Iodate, Sodium Selenite]. D450418.",34.00%,11.00%,5.00%,12.00%,
21,"Kit & Kaboodle Outdoor Dry Cat Food, 35-lb bag",Kit & Kaboodle,25.22,Adult,normal,137,4.4,"Ground yellow corn, corn gluten meal, soybean meal, meat and bone meal, animal fat preserved with mixed-tocopherols, chicken by-product meal, phosphoric acid, animal liver flavor, salt, calcium carbonate, fish meal, choline chloride, Minerals [potassium chloride, zinc sulfate, ferrous sulfate, manganese sulfate, copper sulfate, calcium iodate, sodium selenite], taurine, Vitamins [Vitamin E supplement, niacin (Vitamin B-3), Vitamin A supplement, calcium pantothenate (Vitamin B-5), thiamine mononitrate (Vitamin B-1), Vitamin B-12 supplement, riboflavin supplement (Vitamin B-2), pyridoxine hydrochloride (Vitamin B-6), Vitamin D-3 supplement, folic acid (Vitamin B-9), menadione sodium bisulfite complex (Vitamin K), biotin (Vitamin B-7)], L-Tryptophan, DL-Methionine, Red 40, Yellow 5, Blue 2. A451417",30.00%,2.00%,3.00%,12.00%,
22,Blue Buffalo Wilderness Kitten Chicken Recipe Grain-Free Dry Cat Food,Blue Buffalo,21.99,Kitten,"High-Protein, Grain-Free, No Corn No Wheat No Soy",515,4.8,"Deboned Chicken, Chicken Meal, Pea Protein, Tapioca Starch, Menhaden Fish Meal (source of Omega 3 Fatty Acids), Chicken Fat (preserved with Mixed Tocopherols), Peas, Dried Egg Product, Flaxseed (source of Omega 6 Fatty Acids), Natural Flavor, Fish Oil (source of DHA-Docosahexaenoic Acid and ARA-Arachidonic Acid), Pea Fiber, Calcium Chloride, Choline Chloride, Potassium Sulfate, DL-Methionine, Direct Dehydrated Alfalfa Pellets, Potatoes, Dried Chicory Root, Salt, Alfalfa Nutrient Concentrate, Calcium Carbonate, Taurine, Sweet Potatoes, Carrots, Potassium Chloride, preserved with Mixed Tocopherols, Vegetable Juice for color, Ferrous Sulfate, Niacin (Vitamin B3), Iron Amino Acid Chelate, Zinc Amino Acid Chelate, Zinc Sulfate, Vitamin E Supplement, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Copper Sulfate, Thiamine Mononitrate (Vitamin B1), Copper Amino Acid Chelate, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), L-Lysine, Biotin (Vitamin B7), Vitamin A Supplement, Manganese Sulfate, Manganese Amino Acid Chelate, Pyridoxine Hydrochloride (Vitamin B6), Calcium Pantothenate (Vitamin B5), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Folic Acid (Vitamin B9), Dried Yeast, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Calcium Iodate, Sodium Selenite, Oil of Rosemary.",40.0%,20.0%,35.0%,9.0%,
23,Royal Canin Veterinary Diet Urinary SO Moderate Calorie Dry Cat Food,Royal Canin Veterinary Diet,77.99,Adult,"Weight Control, Pea-Free, Veterinary Diet",749,4.8,"Chicken By-Product Meal, Brewers Rice, Corn, Corn Gluten Meal, Powdered Cellulose, Wheat Gluten, Natural Flavors, Chicken Fat, Salt, Fish Oil, Potassium Chloride, Calcium Sulfate, Egg Product, Sodium Bisulfate, Vegetable Oil, Sodium Pyrophosphate, Dl-Methionine, Fructooligosaccharides, Monocalcium Phosphate, Choline Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, Biotin, Riboflavin Supplement, D-Calcium Pantothenate, Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Acetate, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Taurine, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), L-Carnitine, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",32.00%,9.00%,9.30%,8.00%,
24,Purina ONE Indoor Advantage Adult Dry Cat Food,Purina ONE,24.22,Adult,"Indoor, Pea-Free",561,4.7,"Turkey, Brewers Rice, Corn Gluten Meal, Poultry By-Product Meal, Soybean Meal, Whole Grain Corn, Fish Meal, Dried Yeast, Powdered Cellulose, Soy Protein Isolate, Animal Fat Preserved with Mixed-Tocopherols, Soybean Hulls, Animal Liver Flavor, Phosphoric Acid, Caramel Color, Salt, Calcium Carbonate, Potassium Chloride, Dried Spinach, Choline Chloride, Taurine, Zinc Sulfate, Vitamin E Supplement, Ferrous Sulfate, Manganese Sulfate, Niacin, Vitamin A Supplement, Calcium Pantothenate, Thiamine Mononitrate, Copper Sulfate, Riboflavin Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Vitamin D3 Supplement, Calcium Iodate, Biotin, Menadione Sodium Bisulfite Complex (Source of Vitamin K Activity), Sodium Selenite.",38.00%,8.50%,4.30%,12.00%,
